teks_bersih,sentimen
tiap bayar selalu tolak,Netral
oke banget,Positif
aplikasi tidak bsa ngirim uang bisa nerima uang padahal premium knpa,Netral
bayar dana cicil gabisa padahal limit nya,Netral
tidak bayar steam padahal kemarin tolong baik tanggal deadline diskon game incar desember,Netral
saya dm lewat twitter akun resmi dana tapi tidak balas pihak dana langsung,Netral
untuk beli bintang fb pro selalu eror,Netral
transaksi pending belum kabar kembali dana jujur buruk si bagus up shopeepay eh malah pending uang potong tpi transaksi pending jadi belum masuk shopeepay,Netral
sangat rekomendasi,Netral
di hp belum muncul dana paylater padahal dana suda permium,Netral
mau transfer bank aja tidak alas banyak lagi transaksi,Netral
butuh fitur dana cicil aktif segera soal udh lama ngajukan tapi belum muncul,Netral
fitur dana cicil belum muncul akun payah padahal sering transaksi,Netral
bagus sih sayang nya kl daftar qris ribet dn lama proses nya belum lg kl gagal bulan pon kl jadi kl tidak ulang dn ulang,Netral
ada kendala kok tidak masuk,Netral
skg aplikasi nya kl buka susah loading lama malah keluar tidak buka spt nge rusak dong baik tingkat aplikasi nya,Negatif
lalau banyak potong inibitu,Negatif
sya udh lama pake dana tpi ksihan banget dana cicil cmn rbu dana instan rb jga ggal trs mw pake kasih baik buat guna,Positif
tampil qris bisnis baik font tampil nama toko nmid nama toko potong nmid jadi baris qris share baik bisa cetak sendiri edit edit,Positif
bagus,Positif
banyak jadi uang hilang ya lebih kuat sistem aplikasi,Negatif
aplikasi dana buka cuma loading jha,Netral
sangat bagus sekali,Positif
aplikasi lumayan bagus tapi sekarang kalau masuk fitur dana goals susah jam jam sampe jam coba buka belum bisa,Netral
halo dana ingin sampai keluh kena aplikasi dana belakang asa sangat lambat sering buat proses transaksi jadi hambat buka aplikasi loading sering lama juga ingin kirim dana buka menu lain mohon baik performa aplikasi lebih cepat stabil ini sangat ganggu aktivitas terima kasih,Netral
dana cicil tidak d pake,Netral
dana habis diupdate tapi tadi sore jam sekarang tidak buka gimana nih padahal mau transaksi,Netral
pen nabung dana goals tapi stuck tulis proses hari kek gin tapi sisa alhamdulillah bagus aja,Positif
saya tidak masuk padahal no msh aktif,Netral
lumayan cuma bom untung blom pakai danacicil,Netral
transfer gopay hasil tapi dana belum masuk,Netral
sumpah ribet banget tiap hari aktivasi nomor ribet,Netral
knpa tiba tagih google padahal tidak langgan apa mohon baik,Netral
aplikasi sagat penting guna,Positif
lambat buka nya tidak daftar,Negatif
kasih bintang soal fitur dana instan dana fitur dana cicil akun belum muncul,Netral
masih belum paham sepenuh,Netral
semenjak baru dana jadi lambat berat buka kadang buka balik sendiri paya nih,Negatif
transaksi qris tanggal status hasil tapi uang tidak masuk rekening merchant transaksi dengan merchant sangkut pending sekarang tgl belum selesai uang tidak ke rekening jadi hambat transaksi sungguh kecewa,Netral
bagus,Positif
masuk susah bnr sekarang,Negatif
nilai bintang,Netral
tidak masuk tidak akun dana gimana sih,Netral
lambat banget,Negatif
tidak bisah masuk akun dana karna tidak bisah terima kode otp kartu hilang,Negatif
saat mau buka forse close sendiri pdhl udh update lakuin bnyk cara tetep aj tidak,Netral
netral,Netral
min dong baik solana tidak loading trs,Netral
tidak cetak qris,Netral
kok susah bnget mau masuk dana tidak kyak kmaren kalau masuk kan nmer langsung lgi,Netral
ringan,Netral
sangat guna,Positif
tolong dana jangan batesin gtu beli listrik kalau darurat jam pas apa nunggu tengah dlu bru kenapa si di batesin allah keburu mati token org mana sinyal susah cuma ngandelin wifi doang,Positif
susah hapus permanent akun,Negatif
dana cicil tidak guna butuh,Netral
dana cicil tapi tidak pakai,Netral
mau komplain uang emas ada lebih sedikit barusan tambahin beli emas kok uang nya tidak namba malas pas sisa uang emas yang nya kok kaya gitu sistem buka profit malah kurang,Positif
ini transaksi pending terus,Netral
sekarang ngirim dana pakai biaya tugas kalau isi ulang potong,Positif
isi uang aja skrg pake tugas trf bank tidak free tugas samsek tidak kaya apl digital pada free trf bank apa hadeuhhhh,Netral
mau masuk applikasi dana kenapa tidak masuk tiba keluar sendiri sudah baru tapi tetep tidak masuk,Netral
sering forceclose sekarang aplikasi nya terus kata kalau kuota habis buka tapi ko saya tidak bisa yah,Netral
dong saya baru isi gabisa buka dana,Netral
fitur dana cicil tpi tidak di aktifin padahal aplikasi stiap hari pakai,Netral
saya coba tetap tidak bisaa mau masuk tiba layar hitam langsung balik halaman awal,Positif
sudah lama pakai aplikasi dana tapi sekarang tidak bagus kronologi tranfer gagal saldo potong pihak dana jamin uang aman di kembali rek sampai sekarang belum saya sangat buruk mau tranfer takut,Positif
bukan favorit isi uang tidak gratis,Netral
kurang simple,Netral
min dana cicil tidak guna,Netral
maaf tidak log in pake hp,Netral
kecewa di bantu dong qris dana tidak di cetak,Netral
fix rusak,Negatif
dong tugas upgrade dancil nya kalau jatuh tempo ingat lewat w a di telfon milik akun biar tidak lupa lupa soal g pemberitahuan bukan g mau bayar min tapi lupa krn tidak pemberitahuan biar tidak kenal sanksi akun,Netral
min kembali dana dlu ngirim k aja tugas otomatis sama temen perak di baik,Netral
kenap limit dana cicil tidak di pakai,Netral
suda pakai dana lama sering transaksi tapi fitur dana cicil tidak,Netral
gimana mau buka sih kok ke masukin nomer mulu tiba layar hitam masukin nomer dah uninstal kali tetep sama aja,Positif
dana makin kesini makin lambat aja nih sering tipu sering duit ketelen aplikasi tampa tuju milik,Negatif
sgt bantu,Positif
cukup bagus,Positif
sering lag ama gagal verifikasi pas lgi pembyrn baik,Negatif
alhamdulillah lancar pakai dana,Positif
bagus,Positif
sering ngebug susah di buka kadang rusak,Negatif
knapa di buat repot buat dana goal ko peripikasi wajah ribet ngak kayak dulu percuma atur sandi mohon kembali sedia kala kyak dulu,Netral
nice application tapi lama pakai aplikasi dana aneh signal perihal update aplikasi aneh signal perihal nya laku usaha kartu seluler three cabang negara sendiri indonesia karena aplikasi selalu guna beda nomor kartu seluler beda email beda milik meski terkadang masih anggap kerjasama sama ganda nomor kartu seluler tapi jejak html nomor kartu seluler bisa tipu internasional,Netral
hari bom di tarik uang qris,Netral
bagus,Positif
kacau gada dana cicil bosss buruk,Negatif
bgu,Netral
bagus,Positif
bagus,Positif
makin lama makin jadi biaya adminnyaa lahh dana rangin biaya tugas nyaa,Netral
dana sudah premium tapi tidak laku check in hari sering rusak dapat terang suruh laku verifikasi ulang mohon perhati rusak nya baik minta solusi atas ini,Negatif
dana tidak hapus riwayat minta uang nya,Netral
hadeh makin ndk enak aja dana cara nonaktif dana cicil ndk padahal dah dak mau ikut utang salah bayar selalu arahin otomatis sana manual buat mindahin bayar normal padahal uang sendiri asli dah makin lama makin taik,Netral
sering jadi rusak,Negatif
sangat lancar,Positif
kenapa saya mau upgrade dana premium gabisa terus pdhl sinyal lancar pls jangan eror,Positif
cukup bgs,Netral
dana cicil tidak pakai,Netral
dana ya mau transfer kok suruh upgrade terus dana premium pdahal di upgrade aja tidak transfer saran bantu kak,Positif
min punya saudara lupa pin kok verifikasi nya lama banget nunggu hari pun belum apa saran dong min kalau bisa rating nya naikin,Positif
tingkat,Netral
lebih harus bagus fitur nya,Positif
dana cicil ngk di pake pdahal ngk pernah sma sekali pake pas sekali nya pake ko gagal bayar terus,Negatif
sering rusak,Negatif
mulai rusak update tidak kirim tarik dana minta upgrade premium upgrade ke menu mula clear cache malah semua tidak buka,Negatif
fitur dana goals ng blank jadi tidak tarik uang dana goals,Netral
jaring putus,Netral
lumayan sihh cuman dana cicil tidak keluar keluar padahal sudah lama transaksi pakai dana saat event dana folly koin nya tidak tukar alasanya stok habiss,Positif
dana lah akun sudah lama premium tiba tiba jadi non premium tidak upgrade premium,Netral
payah infinix hot play tidak buka kalau pakai data seluler make wifi baru dipake,Netral
fitur dana cicil kenapa tidak keluar min pdahal sering transaksi gimana,Netral
cukup puas,Positif
dana tutup adabug maksud apa,Negatif
transaksi jt lebih tapi tidak fitur dana instan jd bisa lihat limit,Netral
limit dana cicil tidak di guna,Netral
tidak buka,Netral
akun dana ngak dana cicil nya,Netral
sayaa meng upgrade dana biasa premium lengkap ktp selfie tapi foto ktp kurang jelas jadi arah kan dokumen dukung dokumen dukung pilih kartu keluarga nah situ aplikasi dana saya mulai aneh fitur foto mau guna foto kartu keluarga tidaa seperti nge fresh hitam,Positif
susah kitim dana,Negatif
makin kesini makin buruk aja aplikasi dana ni saya mau teransfer bank gx di suruh premium padahal premium gx lg kan jadi kendala tolang lah developer baik rusak gituan kok makin rusak apak bkn makin bagus,Negatif
proses pangiriman buruk masa ingin kirim uang selalu gagal ada notif jadi kasalahan mohon cek ulang,Negatif
sangat bagus aplikasi dana,Positif
min sekarang dana cicil tidak di guna padahal tidak tunggak,Netral
sering transaksi tahun banyak sekali tapi tidak aktif aktif fitur dana cicil nya,Netral
gimna cara kalau lupa password tpi nomor mati,Netral
bagus job,Positif
kok tidak buka padahal suda di apdaet,Positif
dana cicil tidak muncul,Netral
susah bayar robux langgan webtoon dana nya masalah tidak guna,Negatif
hilang pinjam biar guna lebih aman karna di salahgunakan,Netral
ya kok sekarang dana kalau buka baru halaman utama tau keluar sendiri kadang kalau pas mau transfer uang keluar sendiri jadi ngulang dari awal padahal dulu dana tuh cepat loh aplikasi nya,Positif
bagus,Positif
dana cicil tidak pernah kluar padahal dah taun,Netral
sering transaksi pakai dana tp tidak fitur dana cicil,Netral
tidak tau akhir sering rusak,Negatif
sangat mmbantu dana is the bes,Netral
tidak dana cicil padahal transaksi bulan besar,Netral
nggak buat transaksi pdhl uang cukup selalu mncul notif upgrade dana premium di upgrade masih sama nggk buat transaksi,Netral
lebih tingkat tangan masalah nasabah kalau buat tanggap balik untuk telpon nasabah ada buat lapor masalah banyak sekali uang nasabah nyangkut dana tidak di ambil,Negatif
suka,Positif
tiap mau transfer suruh upgrade premium mulu padahal premium alhasi lgak buat transfer terima transfer lapor ana kata baik nyata belum juga,Netral
verifakasi wajah nya buta,Netral
apl bagus,Positif
dana cicil tidak sedia lunas tagih,Netral
belummengerti,Netral
dana ganggu kenapa tiba tidak guna transfer ada ket suruh upgrade premium thn udh premium waduhhh,Netral
gmn tidak verifikasi email gagal terus akun premium sama tidak partisipasi a reward tidak update app lg,Negatif
lambat suka loding lama baik,Netral
aplikasi dana selalu rusak ya,Negatif
dana makin kesini makin kesana verifikasi wajah pin benar tapi kenapa masih minta otp lewat no tlp nomer tidak aktif chat ana kemarin email tidak notif otp masuk kak baik pngn masuk akun dana tapi tidak krna tidak otp masuk email nomer sudah tidak aktif,Netral
bagus,Positif
knapa tidak d download tablet wifi,Netral
bagus,Positif
bagus aplikasi dana,Positif
sekarang biaya tugas terus,Netral
apa kalian sama aplikasi dana tidak guna di hp infinix koneksi internet putus terus harus pake waifi buat depolever dana segera laku upaya,Netral
tambah ribet pindah akun proses hari,Netral
sangat bantu,Positif
knpa tidak ya download dana tlong baik,Netral
tarik tunai kol tidak ya,Netral
dana cicil tidak guna padahal tidak tunggak sama sekali pihak dana dana cicil di guna,Netral
dana cicil sedang tidak sedia padahal limit ada mau pake sedang tidak sedia,Netral
bagus,Positif
ko punya gada fitur dana cicil padahal akun dana lama transaksi banyak,Netral
knph mau masuk akun dana tidak masuk pas poto wajah sudah tp tidak juga dana transaksi mau ambil kph tidak masuk,Netral
hari guna dana bayar toko tp ko dana cicil tidak sedia aneh deh,Positif
jauh aplikasi baik,Netral
sangat puas aman,Positif
kok aplikasi dana belum muncul dana instan dana cicil,Positif
sbnrnya bagus tp singkat aja uang gua sering tbtb kuras gt dlu rb tidak pke apa tbrb ilang rb walaupun kecil tp uang tetep uang nah trs td rb hilang rb untung aja gua bawa cash tdi kalau tidak planga plongo di bnrin,Netral
g masuk,Netral
kadang eror sendiri keluar akun bikin males,Netral
di baik min masa lihat riwayat kirim sama keluar tidak,Netral
bagus,Positif
cukup baik,Netral
uang suka tiba potong,Positif
sangat buruk lapor bukan laku transaksi tapi tidak di batal padahal notif coba kirim transaksi kok tidak di bantu dana tidak amanah sekarang aman kalau buat yang ada gapapa uang ribu hilang,Netral
banyak promo rusak nya jga,Negatif
bayar live tiktok eror jadi tidak terlalu bagus,Positif
sekarang kalau buka dana enggak tolong atas karna enggak lagi buka dana,Netral
transfer uang sekarang jadi ribet proses proses lama hari di perbaikin dana,Netral
tiba tiba dana bukan premium padahal premium mana no dana nya hilang jadi bingung,Negatif
bos kok dana tetap di upgrad pdhl udh premium,Positif
dana tidak scan qris terima kasih,Netral
sering masalah lambat,Negatif
sangat bagus,Positif
ikan tiga karna kemarin dana ku susah baik hp ku bisa pake sekarang mau buka hp lain download ulang,Negatif
bagus,Positif
bagus,Positif
harus nya akun dana di terbit dana cicil bgi semua guna bukan kecuali,Netral
lama pakai dana tapi tidak kasih fitur dana paylaternya dana cicil tidak bijak,Netral
bagus,Positif
aplikasi makin lama buruk uang tidak tambah laku bagus up,Netral
aplikasi dana cicil belum,Netral
jaring sinyal sering putus mau transaksi buka aplikasi padahal jaring seluler bagus buka aplikasi,Positif
dana cicil nya tidak di guna,Netral
premium balik ke dana user perbaikin dong rusak mulu,Negatif
tidak buat dana,Netral
uang dana tidak di ambil padahal akun premium versi baru si tal oke ya,Positif
banyak buk,Netral
rusak ros rusak ros ni dana,Negatif
padahal aplikasi sudah premium tapi tidak baca premium,Netral
bagus,Positif
aneh fitur dana cicil ada tapi gabisa guna percuma aja cuma jadi pajang ganti nomer tetap aja gbisa guna,Netral
tidak masuk selasa masuk pin selalu arah whatsapp terus jadi bisa masuk account,Netral
kadang lambat menuebalkan,Negatif
makin hari makin tidak jeles suka ngelek sendiri,Positif
aju masuk akun dana malah gabisa padahal hp hilang,Negatif
bgus,Netral
cara hapus data akun gimana,Netral
uang suka hilang,Netral
pakai dana tahun lebih premium transaksi banyak tp sayang fitur dana instan belum muncul akun dana,Netral
bagus,Positif
saya tidak bsa transfer pdahal laku upgrade,Netral
bos saya tidak lagi kiri m uang sama dana mohon bantuanya bos,Netral
paling ribet kalau soal passkey malah aplikasi dana tidak buka sampe hari layan dana terlalu sulit hubung,Netral
buruk skrg biaya adminnya jdi lebih mahal pdahal dlu msih gratis,Negatif
aplikasi tidak jelas,Netral
kalau fitur dana instan muncul akun tak kasih full bintang,Netral
beri fitur dana instan aplikasi dana dana sudah premium tapi fitur dana instan nya ngak tolong beri fitur nya aplikasi dana,Netral
aplikasi gmana to udh premium kok sekarang hilang premium nya kan tidak kirim bank please lah saat urgent kok gin mana semua masuk k dana,Netral
kak dana kenapa tidak d pakek saya buka aplikasi dana selalu keluar jaring kurang stabil saya buka aplikasi lain normal aj jaring nya tlg gmna solusi ny donk,Netral
selmat siang kk ko aplikasi nya tidak di guna dong,Netral
tidak masuk seta verifikasi wajah,Netral
tab aktivitas lama sekali loading nya,Netral
proses transaksi dana bca bisa makan waktu jam,Netral
di baik rusak nya,Negatif
tidak buat beli pulsa udh hospot temen tp tidak masuk buat beli pulsa,Netral
dana cicil tidak di gunain stiap abis verifikasi wajah malah ke beranda mulu,Netral
cepat tanggap,Positif
dana sekarang rusak notif dana blum permium sudah premium dana lohh,Negatif
upgrade nya terlalu lama,Netral
suruh baru data malah eror pilih camat,Netral
lama gaada kendala aplikasi bagus overall tapi malam beli token listrik nominal nomer token tidak masuk masuk terang sedang proses hubung layan tanggap suruh tunggu x jam chat karna waktu sesuai nomer token belum dan uang potong minta refund tidak uang kembali bukan soal nominal nya tapi saat sedang urgent malah main ini,Positif
daftar dana premium kok ngak layan dana cicil,Positif
fitur pinjam saldo tidak padahal sudah pakai dana sejak lama buruk sih,Netral
adain lah menu hapus akun,Netral
hallo dana dapat limit dana cicil bulan lalu coba pakai dana lunas jatuh tempo x angsur lunas semua langsung nah sekarang fitur nya ada kenapa mau guna nya terang nya tidak sedia tidak laku kenapa pdhal tidak pernah telat malah saya lunas jatuh tempo,Netral
dana cicil tidak muncul padahal sering transaksi dana,Netral
tidak ad fitur pinjam uang kasih bintang aja,Netral
bagus,Positif
gimana cara upgrade jadi premium susah banget pakai dana ribet kalau gin mending tidak pakai dana,Negatif
tidak isi uang dana,Netral
sekarang tida kirim uang mau kirim uang selalu motip upgrad padahal sudah premium suda upgrad x mas belum kirim uang saya sangat butuh uang ituh,Netral
kirim uang muncul upgrade hasil tapi tidak kirim,Netral
bagus,Positif
semua transaksi slalu pake tp dana instan aplikasi dana ko tidak,Netral
aplikasi dana sekarang tidak pasang di layar utama,Netral
dulu bagus lancar lancar aja sekarang sangat buruk hai makan kalian punya maaf bikin emosih aplikasi lama lama hp saya banting baru aplikasi dana ketawa diam diam rasa batul laiiii,Positif
dana tidak bayar belanja online kalau bayar dana kaharrusa gimana ci dana bikin tak nyaman aja di perhati tu pihak dana,Positif
akun tidak premium akun lama sudah tidak aktif sudah ulang kali buat lapor di ana tapi tidak hasil sama sekali minggu kenapa masalah tidak di selesai,Negatif
fitur dana cicil aktif akun dana,Netral
apak dana kok sekarang banyak iklan video wanita game game online sangat resah,Positif
limit dana cicil kecil banget,Netral
bantu min bagus up shoopepay belum masuk hari pihak shoopepay kata kembali dana pihak shoopepay tidak terima uang masuk dari bagus up shoopepay tapi uang kembali belum masuk,Positif
aplikasi nya suka eror orang premium suruh update premium cuman salah nya di logout dlu baru normal,Positif
di updet malah teransaksi tidak transfer malah tahan jam tidak kirim kirim di updet lancar lancar aja lah sekarang malah gin bukan nya tambah bagus malah tambah busuk,Positif
aplikasi nya bagus nyimpan uang perlu tapi mau ambil daget tidak tolong baik,Positif
mulai aplikasi tapi belum dana masuk,Netral
kasih bintang tapi akhir karna sangat ganggu sering rusak jadi kurang lah dulu nnt klu dah bagus kasih bintang baru mulai investasi dana tapi klu suka rusak gin mau masuk aja tidak gimana mau lanjut tunggu beberapa waktu moga aja baik tapi klu belum ubah mending pindah aplikasi,Positif
dana tidak terima transfee,Netral
simple sih,Netral
tidak tanggap kait lapor transfer uang aplikasi shopeepay tgl november jam hingga ini uang belum terima tidak lanjut pihak ana riwayat transaksi dana uang hasil sampai ini uang belum terima mohon kembali uang nila kalau gaji kurang mending cari kerja daripada ambil hak orang,Netral
bagus,Positif
tidak kirim uang notifikasi nya suruh upgrade dana premium padahal sudah premium upgrade hasil masih tidak kirim uang mohon solusi,Netral
gajelas banget uang dana sering ilang,Netral
sangat bantu,Positif
maaaf dana kasih bintang tiga soal baru hari saya mau beli data pulsa tidak loading terus biasa nya ini jadi kek gin sih aplikasi nya,Netral
lumayan bantu,Positif
dana lemoootttt,Netral
bagus banget transfer tidak pernah kena biaya,Positif
dana akhir akhir suruh upgrade premium stlh klik hasil upgrade tp tidak buat kirim gmn sih jdi bingung,Netral
dana tidak di buka,Netral
dana baik bugnya saya masuk knpa selalu muncul notifikasi aplikasi ada bugnya baik buk,Negatif
lama pake dana tapi dana cicil nya blum,Netral
hasil pindah akun tapi uang hilang gimana dana,Negatif
mohon baik dana keluar,Netral
dulu dana cicil bisa sekarang ngk,Netral
dana sudah premium tidak kirim rekening malah minta upgrade premium ini bagaimana solusi,Netral
kok gag bsa buat transfer,Positif
dana skrg kok makin ngk benar sya ngk bagus up aplikasi atau google uang sya di tarik padahal sya tidak laku transaksi apa,Positif
dana cicil ada aktif nya tapi tidak aju pinjam ketika laku bayar via qris pilih metode dana cicil tetapi dana cicil tidak laku padahal saya telah aktif dana smartpay,Positif
kalau mau beli kuota data selalu gagal alas jaring internet hilang sebel tau jadi kasih bintang aja deh kalau lancar tambahin,Negatif
dulu pas mau update dana premium gampang banget sekarang malah banyak kendala coba kali kali bahkan tadi sempat hapus apknya lalu download dan tetap aja tidak selalu tulis jadi salah buat order kyc dong benerin,Negatif
dana sangat bantu,Positif
quris a selalu tidak,Netral
lumayan lumayan,Netral
nice,Netral
bagus,Positif
kapok pakai aplikasi,Positif
dong langsung sambung customer care kalau kendala masa susuh nunggu jam tidak konfirmasi,Negatif
belum maju,Netral
bagus si,Positif
kan jual reksadana k tapi masuk cuma k aja tidak full rebu gimana min tolol jelas,Negatif
tidak dana cicil,Netral
sangat saran sewa orang artis ahli gambar buat iklan dana premium iklan di buat manusia langsung lebih hidup tarik perhati ketimbang gambar imitasi di buat ai,Netral
beberapa tahun pake dana transaksi udh bnyk ttp aja belum muncul fitur dana instan sama dana cici huh asu,Netral
sangat mudah praktis,Positif
dana cicil tidak di aktivasi,Netral
knapa skrg aplikasi x notif aplikasi dana tutup krna bnyk rusak trus gua kalau mau narik uang jual tiktok dana ilang dong uang aduh delevoper perbaikinla jangan rusak,Negatif
dana kenapa sistem sibuk mulu min,Netral
suka ngelag lama loadingnya,Positif
transaksi susah,Negatif
sbelum nya verifikasi pakai wajah sekarang lalu whatsapp sms,Netral
halo dana cuman mau kasih tahu kalian terlalu riba emas untuk beli jual cetak kirim milik biaya tidak banding hasil tabung emas rasa sangat rugi cetak langsung emas aplikasi dana,Negatif
tangan komplen lamaaaaaaa banget mau mindahin akun aja ribet banget,Netral
kecewa premium tapi tidak di guna,Netral
kenapa tidak laku transaksi tobat sampe tetep tidak solusi gimana sudah bagus up sampe k loh uang tabung rela bagus up dana buat beberapa malah tidak transaksi mau aplikasi apa juga tetep sama tidak tolong lah gimana sampe nang duit yang dah dikumpulin ilang gegara rusak ini tolong lah baik,Netral
coba dulu,Netral
sangat bantu,Positif
kalau buka kunci verifikasi wajah harus kamu bikin benar benar nali milik akun sudah pakai tahun tahun tapi kamu tolol tidak kenal,Negatif
bagus guna,Positif
masalah sekarang ngebug sudah baharu tidak ngefek mungkin kerja extra lg baguan it karena serang nggak tau moga mjd lebih baik,Negatif
sangat baik,Netral
baik layan dana alhamdulillah,Netral
susah dapat paylater mintak min bantu,Negatif
tidak masuk,Netral
bagus,Positif
dana cicil ko tidak di guna,Netral
baik mau tranfer sering susah sulit kagak biat tranfer,Negatif
bagus,Positif
sangat mudah cepat,Positif
assalamu alaikum beneran buruk bangget sm aplikasi dana inih mau tarik uang tunai tidak trs sm update dana premium tidak gagal trs jdnya gmnh nih mau tarik uang tunai kl dana premium tidak ya kasih bintang dulu kl bisa premium trs sm kl bisa tarik tunai baru kasih bintang,Negatif
kok aplikasi dana tidak di buka balik lgi halaman utama jelas butuh bantu,Positif
mau kirim rekening sendiri aja sulit,Netral
banyak menu rusak rusak utama aktegori uang kalau belum benar siap jangan luncur donk bikin percaya hilang aja,Negatif
dana cicil tidak nongol padahal transaksi gede terus,Netral
buka riwayat tidak langsung hrs nunggu besok gbsa otomatis lambat,Netral
dana lambat mau transaksi apa lambat mulu payah padahal sering kali upgrade,Negatif
okelahh,Positif
sungguh buruk sulit,Negatif
bagus,Positif
buruk banget sama aplikasi sudah update tapi tetap tidak guna uang tahan dana bingung ini gimana jg sulit,Negatif
lumanyan aplikasih,Netral
masuk selalu mental kluar,Netral
uang belum telah laku pindah akun,Netral
tidak log in perangkat baru tiap buka aplikasi selalu force close,Netral
cukup baik,Netral
bagus cepat,Positif
kasih bintang dulu soal ndak pernah bonus,Netral
bagus,Positif
sekarang amplikasi dana makin eror kalau pakai data tidak tanda merah bawah ada baca jaring putus padahal data baru isi hanya bisa umpan melaluwi wifi aduh kok gin sekarang,Positif
buka aplikasi dana susah tulis sesi habis gmn cara baharu min,Negatif
benar bagus aplikasi tapi saat beli paket data gb promo masuk cuma gb kek apa lah kalau memang tidak ad promo jangan buat kek gitu buang uang aja buruk sihhh pdhl lumayan lama ku pake,Netral
banyak kendala nya,Negatif
yth dana buat lapor tidak masuk tidak terima kode otp nomor hilang hangus minggu masalah saya alami tidak selesai padahal e ktp sesuai hrs masukin kode otp terlalu sulit kalau apa pakai kode otp harus kalau memang vermuk sudah sesuai izin masuk harus make kode otp,Negatif
hari dana selalu rusak padahal di hapus cache restart ponselnya tetap rusak buruk,Negatif
ana sama sekali tidak bantu komplain sini baru bantu aplikasi ada layan asli,Positif
developer cangenam,Netral
plss dong dana akhir akhir bawa virus bikin satu hp ngeleg,Netral
suka pakai dana tapi buat sekira langsung arah aplikasi beli apa g pay biar tidak usah masuk aplikasi pihak tiga,Positif
aktivasi bagi rusak kasih solusi dong tugas,Negatif
terimakasih sangat baik proses nya cepat moga depan makin baik,Positif
uang sering hilang,Negatif
ajar cari rejeki raja,Netral
kembali uang bermsalah lama pdhal sdah kirim bukti sesuai minta,Netral
kali qris nya baik sering kendala trus mau pakai tadi mau kasih bintang tidak jadi karna qris sering kendala,Negatif
mntap,Netral
ah tidak dana cicil bulan transaksi juta tetep ndk ad,Netral
bagus benar tapi dana cicil sering off sedang tidak sedia padahal limit uang masih aplikasi paling update juga sinyal bagus dah,Positif
serta pin laku bayar langgan sekalipun,Netral
fitur dana cicil akun dana kok tidak padahal transaksi lalu dana terus,Positif
aplikasi nya tidak buka lg,Netral
makin sini makin buruk ni aplikasi makin berat makin susah buat masuk tidak kaya tetangga ringan aja buat masuk,Negatif
pernah hapus tidak sengaja pas diinstal ulang susah banget masuk ribet pake pin otp enggak masuk pusing pusing banget unistal hapus aja,Negatif
gimana nih mau qris ada kendala mohon ganti qris lain gitu mulu baik dong susah banget kalau mau luar pakek qris,Negatif
mntaf,Netral
aplikasi kalok buat isi ulang diamond ff ribu kok tidak masuk diamondnya dong mimin,Positif
bagus,Positif
kalau punya langgan jangan asal sedot dana nya jdi kesel dana nya buat butuh mohon baik,Netral
jelak sih kogabisah unduh,Netral
baik,Netral
belakang suka logout mulu susah buat masuk tolong baik lg,Netral
kenapa habis update malah aplikasi nya tidak di buka tiba keluar sendiri gitu terus tidak jadi padahal perlu malah gin mohon cepat doperbaiki,Positif
fitur dana instan tidak kah pdhl dana premium terupdate,Netral
bantu biasa masuk dana pakai scan wajah no tidak aktif sekarang pakai kode otp bantuanya,Netral
aplikasi dana tidak akses selalu ke menu masuk,Netral
hallo min ya dana cicil belum muncul padahal sering transaksi pake dana mulai belanja beli pulsa tapi sampe skrng belum buka dana cicil nya,Netral
semenjak diupdate jadi sangat ribet premium malah suruh upgrade jadi premium enak dulu tidak ribet dan tidak banyak fitur,Netral
aplikasi nya bagus cuma loading nya lama hp mana,Positif
bagus banget,Positif
baik,Netral
yah punya selalu muncul kode verifikasi yah padahal tidak mau masuk,Netral
update mulu jadi susah mau transfer dana pribadi,Negatif
rusak,Negatif
di baik karena dana sekarang transaksi nya lambat banget kaya keong,Negatif
bagus,Positif
suka ngeleg,Positif
gimana sih masuk sudah pake scan muka aja tidak tolong baik rusak yah,Negatif
eror tidak masuk gimana,Netral
akun dana mintak upgrade trus dana premium mau kirim uang padahal upgrade premium lama laku,Netral
punya orang laen ada dana cicil tempat belum ya,Netral
mental terus kalau buka dana,Netral
lain bagus cuma dana cicil tidak guna percuma limit buat beli pulsa listrik tidak pdahal pas posisi desak tidak keluar rumah,Positif
dana makin ribet bayar batas pdhal baru pake k malah batas harus tunggu ganti bulan,Netral
aktivitas tidak terupdate moga baik kak,Netral
dikit otp sekarang jadi akun hilang,Negatif
dana cicil kok tidak muncul pdhal sudah lama pakai aplikasi kayak tidak harga guna,Positif
sudah pake dana lama ko belum dana cicil gimana sih,Netral
tidak di share bukti transfer nya,Netral
punya gada dana cicil,Netral
sangat bantu,Positif
apa apa guna verifikasi wajah,Netral
knpa tidak masuk k akun dana mohon baik,Netral
saya sesal saat beli reksadana lama nyesal mending pakai aplikasi belah,Netral
dana cicil tidak muncul padahal sering transaksi premium,Netral
kenapaa akunn akuu gabisaa dibukaaa yaaa kaloo gaadaa isinyaa ngaa masalah tapi ini adaa isinyaa,Negatif
bagus,Positif
gaes list transaksi hari kenapa g ya,Netral
dana kok tidak buka,Positif
bagus,Positif
dana cicil nya di lunas tidak sedia tidak laku payah pake dana makin tidak asik,Netral
dana cicil limit tidak di guna,Netral
dong mau transfer tapi tidak update sudah premium tidak kenapa cobaa bantu nyaaaa susah uang bnyak tidak di ambil,Negatif
bagus,Positif
lambat notifikasi,Negatif
